Invoice_No,Stock_Code,Description,Quantity,Date,Unit_Price,Customer_ID,Country,DayOfWeek,Month,Year,Quarter,DayOfMonth,Total_Revenue,Outlier
536392,22827,RUSTIC  SEVENTEEN DRAWER SIDEBOARD,1,2010-12-01 10:29:00,165.0,13705.0,United Kingdom,Wednesday,12,2010,4,1,165.0,False
536544,DOT,DOTCOM POSTAGE,1,2010-12-01 14:32:00,569.77,Unknown,United Kingdom,Wednesday,12,2010,4,1,569.77,True
536592,DOT,DOTCOM POSTAGE,1,2010-12-01 17:06:00,600.0,Unknown,United Kingdom,Wednesday,12,2010,4,1,607.49,True
536835,22655,VINTAGE RED KITCHEN CABINET,1,2010-12-02 18:06:00,295.0,13145.0,United Kingdom,Thursday,12,2010,4,2,295.0,True
536862,DOT,DOTCOM POSTAGE,1,2010-12-03 11:13:00,254.43,Unknown,United Kingdom,Friday,12,2010,4,3,254.43,False
536864,DOT,DOTCOM POSTAGE,1,2010-12-03 11:27:00,121.06,Unknown,United Kingdom,Friday,12,2010,4,3,121.06,False
536865,DOT,DOTCOM POSTAGE,1,2010-12-03 11:28:00,498.47,Unknown,United Kingdom,Friday,12,2010,4,3,498.47,True
536876,DOT,DOTCOM POSTAGE,1,2010-12-03 11:36:00,600.0,Unknown,United Kingdom,Friday,12,2010,4,3,887.52,True
537237,DOT,DOTCOM POSTAGE,1,2010-12-06 09:58:00,600.0,Unknown,United Kingdom,Monday,12,2010,4,6,863.74,True
537240,DOT,DOTCOM POSTAGE,1,2010-12-06 10:08:00,600.0,Unknown,United Kingdom,Monday,12,2010,4,6,940.87,True
537434,DOT,DOTCOM POSTAGE,1,2010-12-06 16:57:00,600.0,Unknown,United Kingdom,Monday,12,2010,4,6,950.99,True
537534,M,Manual,1,2010-12-07 11:48:00,600.0,Unknown,United Kingdom,Tuesday,12,2010,4,7,924.59,True
C537597,D,Discount,-1,2010-12-07 12:34:00,281.0,15498.0,United Kingdom,Tuesday,12,2010,4,7,-281.0,False
C537610,M,Manual,-1,2010-12-07 13:23:00,600.0,Unknown,United Kingdom,Tuesday,12,2010,4,7,-631.31,True
C537613,M,Manual,-1,2010-12-07 13:28:00,313.78,Unknown,United Kingdom,Tuesday,12,2010,4,7,-313.78,True
C537630,AMAZONFEE,AMAZON FEE,-1,2010-12-07 15:04:00,600.0,Unknown,United Kingdom,Tuesday,12,2010,4,7,-13541.33,True
537632,AMAZONFEE,AMAZON FEE,1,2010-12-07 15:08:00,600.0,Unknown,United Kingdom,Tuesday,12,2010,4,7,13541.33,True
537638,DOT,DOTCOM POSTAGE,1,2010-12-07 15:28:00,600.0,Unknown,United Kingdom,Tuesday,12,2010,4,7,836.14,True
537641,DOT,DOTCOM POSTAGE,1,2010-12-07 15:32:00,229.74,Unknown,United Kingdom,Tuesday,12,2010,4,7,229.74,False
537642,DOT,DOTCOM POSTAGE,1,2010-12-07 15:33:00,448.0,Unknown,United Kingdom,Tuesday,12,2010,4,7,448.0,True
