Invoice_No,Stock_Code,Description,Quantity,Date,Unit_Price,Customer_ID,Country,DayOfWeek,Month,Year,Quarter,DayOfMonth,Total_Revenue,Outlier
536370,POST,POSTAGE,3,2010-12-01 08:45:00,18.0,12583.0,France,Wednesday,12,2010,4,1,54.0,False
536374,21258,VICTORIAN SEWING BOX LARGE,32,2010-12-01 09:09:00,10.95,15100.0,United Kingdom,Wednesday,12,2010,4,1,350.4,False
C536379,D,Discount,-1,2010-12-01 09:41:00,20.79,14527.0,United Kingdom,Wednesday,12,2010,4,1,-27.5,False
536382,22839,3 TIER CAKE TIN GREEN AND CREAM,2,2010-12-01 09:45:00,14.95,16098.0,United Kingdom,Wednesday,12,2010,4,1,29.9,False
536382,22838,3 TIER CAKE TIN RED AND CREAM,2,2010-12-01 09:45:00,14.95,16098.0,United Kingdom,Wednesday,12,2010,4,1,29.9,False
536382,22783,SET 3 WICKER OVAL BASKETS W LIDS,4,2010-12-01 09:45:00,16.95,16098.0,United Kingdom,Wednesday,12,2010,4,1,67.8,False
536384,21340,CLASSIC METAL BIRDCAGE PLANT HOLDER,2,2010-12-01 09:53:00,12.75,18074.0,United Kingdom,Wednesday,12,2010,4,1,25.5,False
536384,22424,ENAMEL BREAD BIN CREAM,8,2010-12-01 09:53:00,10.95,18074.0,United Kingdom,Wednesday,12,2010,4,1,87.6,False
536385,22783,SET 3 WICKER OVAL BASKETS W LIDS,1,2010-12-01 09:56:00,19.95,17420.0,United Kingdom,Wednesday,12,2010,4,1,19.95,False
536396,22803,IVORY EMBROIDERED QUILT ,2,2010-12-01 10:51:00,20.79,17850.0,United Kingdom,Wednesday,12,2010,4,1,71.5,False
536401,22848,BREAD BIN DINER STYLE PINK,1,2010-12-01 11:21:00,16.95,15862.0,United Kingdom,Wednesday,12,2010,4,1,16.95,False
536401,47570B,TEA TIME TABLE CLOTH,1,2010-12-01 11:21:00,10.79,15862.0,United Kingdom,Wednesday,12,2010,4,1,10.65,False
536403,POST,POSTAGE,1,2010-12-01 11:27:00,15.0,12791.0,Netherlands,Wednesday,12,2010,4,1,15.0,False
536406,22803,IVORY EMBROIDERED QUILT ,2,2010-12-01 11:33:00,20.79,17850.0,United Kingdom,Wednesday,12,2010,4,1,71.5,False
536477,22423,REGENCY CAKESTAND 3 TIER,16,2010-12-01 12:27:00,10.95,16210.0,United Kingdom,Wednesday,12,2010,4,1,175.2,False
536502,22423,REGENCY CAKESTAND 3 TIER,2,2010-12-01 12:36:00,12.75,16552.0,United Kingdom,Wednesday,12,2010,4,1,25.5,False
536514,22485,SET OF 2 WOODEN MARKET CRATES,4,2010-12-01 12:40:00,12.75,17951.0,United Kingdom,Wednesday,12,2010,4,1,51.0,False
536520,22760,"TRAY, BREAKFAST IN BED",1,2010-12-01 12:43:00,12.75,14729.0,United Kingdom,Wednesday,12,2010,4,1,12.75,False
536522,84968C,SET OF 16 VINTAGE PISTACHIO CUTLERY,1,2010-12-01 12:49:00,12.75,15012.0,United Kingdom,Wednesday,12,2010,4,1,12.75,False
536525,22423,REGENCY CAKESTAND 3 TIER,2,2010-12-01 12:54:00,12.75,14078.0,United Kingdom,Wednesday,12,2010,4,1,25.5,False
536527,POST,POSTAGE,1,2010-12-01 13:04:00,18.0,12662.0,Germany,Wednesday,12,2010,4,1,18.0,False
536528,22839,3 TIER CAKE TIN GREEN AND CREAM,1,2010-12-01 13:17:00,14.95,15525.0,United Kingdom,Wednesday,12,2010,4,1,14.95,False
536528,22423,REGENCY CAKESTAND 3 TIER,1,2010-12-01 13:17:00,12.75,15525.0,United Kingdom,Wednesday,12,2010,4,1,12.75,False
